레버리지 20배기준
익절 ROI 20% 기준
모든배팅 0.5usdt
DCA size , 익절, 도달시물타는 ROI
10.0,20.0,10.0
10.0,20.0,20.0
10.0,20.0,20.0
10.0,20.0,20.0
10.0,20.0,30.0
10.0,20.0,30.0
10.0,20.0,30.0
10.0,20.0,40.0
10.0,20.0,40.0
10.0,20.0,40.0
10.0,20.0,40.0
10.0,20.0,50.0
10.0,20.0,50.0
10.0,20.0,50.0
10.0,20.0,50.0
10.0,20.0,50.0
10.0,20.0,50.0
10.0,20.0,60.0
10.0,20.0,60.0
10.0,20.0,60.0
10.0,20.0,60.0
10.0,20.0,60.0
10.0,20.0,60.0
10.0,20.0,60.0
10.0,20.0,60.0
10.0,20.0,60.0
10.0,20.0,70.0
10.0,20.0,70.0
10.0,20.0,70.0
10.0,20.0,70.0
10.0,20.0,70.0
10.0,20.0,70.0
10.0,20.0,70.0
10.0,20.0,70.0
10.0,20.0,70.0
10.0,20.0,70.0
10.0,20.0,70.0
10.0,20.0,70.0
10.0,20.0,70.0
10.0,20.0,70.0
10.0,20.0,80.0
10.0,20.0,80.0
10.0,20.0,80.0
10.0,20.0,80.0
10.0,20.0,80.0
10.0,20.0,80.0
10.0,20.0,80.0
10.0,20.0,80.0
10.0,20.0,80.0
10.0,20.0,80.0
10.0,20.0,80.0
10.0,20.0,80.0
10.0,20.0,80.0
10.0,20.0,80.0
10.0,20.0,80.0
10.0,20.0,80.0
10.0,20.0,80.0
10.0,20.0,80.0
10.0,20.0,80.0
10.0,20.0,80.0
10.0,20.0,80.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,90.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,120.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
10.0,20.0,130.0
